yearsReviews,sentimiento,item_name
2011,2,Counter-Strike
2012,15,Counter-Strike
2013,7,Counter-Strike
2014,33,Counter-Strike
2015,30,Counter-Strike
2012,3,Team Fortress Classic
2014,7,Team Fortress Classic
2015,7,Team Fortress Classic
2013,2,Day of Defeat
2014,2,Day of Defeat
2015,2,Day of Defeat
2014,2,Deathmatch Classic
2013,2,Half-Life: Opposing Force
2014,2,Half-Life: Opposing Force
2015,2,Half-Life: Opposing Force
2012,1,Ricochet
2013,2,Ricochet
2014,6,Ricochet
2015,4,Ricochet
2011,2,Half-Life
2012,13,Half-Life
2013,16,Half-Life
2014,38,Half-Life
2015,24,Half-Life
2011,2,Counter-Strike: Condition Zero
2013,2,Counter-Strike: Condition Zero
2014,3,Counter-Strike: Condition Zero
2015,6,Counter-Strike: Condition Zero
2012,2,Half-Life: Blue Shift
2015,5,Half-Life: Blue Shift
2011,8,Half-Life 2
2012,51,Half-Life 2
2013,62,Half-Life 2
2014,133,Half-Life 2
2015,60,Half-Life 2
2010,4,Counter-Strike: Source
2011,12,Counter-Strike: Source
2012,42,Counter-Strike: Source
2013,63,Counter-Strike: Source
2014,159,Counter-Strike: Source
2015,83,Counter-Strike: Source
2013,4,Half-Life: Source
2014,6,Half-Life: Source
2015,2,Half-Life: Source
2010,2,Day of Defeat: Source
2011,3,Day of Defeat: Source
2012,17,Day of Defeat: Source
2013,9,Day of Defeat: Source
2014,14,Day of Defeat: Source
2015,9,Day of Defeat: Source
2011,4,Half-Life 2: Deathmatch
2012,3,Half-Life 2: Deathmatch
2013,10,Half-Life 2: Deathmatch
2014,2,Half-Life 2: Deathmatch
2012,0,Half-Life 2: Lost Coast
2013,5,Half-Life 2: Lost Coast
2014,6,Half-Life 2: Lost Coast
2015,0,Half-Life 2: Lost Coast
2013,2,Half-Life Deathmatch: Source
2011,2,Half-Life 2: Episode One
2012,3,Half-Life 2: Episode One
2013,6,Half-Life 2: Episode One
2014,6,Half-Life 2: Episode One
2015,9,Half-Life 2: Episode One
2010,4,Portal
2011,20,Portal
2012,22,Portal
2013,30,Portal
2014,58,Portal
2015,22,Portal
2011,4,Half-Life 2: Episode Two
2013,2,Half-Life 2: Episode Two
2014,14,Half-Life 2: Episode Two
2015,9,Half-Life 2: Episode Two
2011,1,Left 4 Dead
2012,13,Left 4 Dead
2013,13,Left 4 Dead
2014,16,Left 4 Dead
2015,3,Left 4 Dead
2010,2,Left 4 Dead 2
2011,14,Left 4 Dead 2
2012,100,Left 4 Dead 2
2013,372,Left 4 Dead 2
2014,429,Left 4 Dead 2
2015,159,Left 4 Dead 2
2011,48,Portal 2
2012,89,Portal 2
2013,121,Portal 2
2014,233,Portal 2
2015,118,Portal 2
2012,983,Counter-Strike: Global Offensive
2013,286,Counter-Strike: Global Offensive
2014,1669,Counter-Strike: Global Offensive
2015,2293,Counter-Strike: Global Offensive
2012,1,Red Orchestra: Ostfront 41-45
2013,1,Red Orchestra: Ostfront 41-45
2010,9,Killing Floor
2011,27,Killing Floor
2012,32,Killing Floor
2013,126,Killing Floor
2014,205,Killing Floor
2015,54,Killing Floor
2014,2,Darkest Hour: Europe '44-'45
2011,2,Uplink
2012,2,Uplink
2014,3,Uplink
2015,4,Uplink
2012,2,DEFCON
2013,2,DEFCON
2014,6,DEFCON
2015,2,DEFCON
2013,2,Space Empires V
2015,2,Space Empires V
2013,2,Two Worlds: Epic Edition
2014,2,Two Worlds: Epic Edition
2015,0,Two Worlds: Epic Edition
2012,0,Dark Messiah of Might & Magic Single Player
2011,2,Quake III Arena
2015,2,Quake III Arena
2012,3,Wolfenstein 3D
